StudentID,FirstName,LastName,BirthDate,Telephone,Street,PostalCode,City,DNI,Gender
1,Clarke,Bru,1965-04-02,5406211542,5397 Ludington Way,,Librazhd-Qendër,571720305,Male
2,Rose,Gathwaite,1962-12-31,1955241247,2202 Florence Crossing,H4R,Chase,825367932,Female
3,Des,Preon,1995-06-20,4059011163,240 Anderson Plaza,73119,Oklahoma City,104277551,Male
4,Cecil,Sandeford,1998-02-23,4181627807,27618 Oakridge Place,683 01,Rousínov,260168158,Female
5,Elfreda,Perillo,1996-02-14,9584203729,51 Service Center,,Guodu,220312471,Female
6,Germain,Lammas,1974-10-12,7578608632,7 Delaware Plaza,1536,Moss,909309820,Female
7,Vernon,Zanelli,1985-08-14,4771836419,1439 Hooker Park,,Houmen,918546822,Male
8,Ike,Deniscke,2001-02-03,7383242803,00666 Bartelt Trail,4650-071,Fojo,315311779,Male
9,Melvyn,Gittoes,1990-01-08,8455130149,4 Dryden Way,39-333,Sarnów,466134017,Agender
10,Jeremias,Curd,2006-07-10,3519431480,38 Lyons Trail,,Xiaoruo,274080213,Male
11,Oona,Pigott,1976-10-13,3192447260,96493 Gina Junction,4520-525,Sanfins,627349422,Female
12,Phil,Shall,1961-10-28,6394814964,4 Sutherland Center,31210,Nong Ki,779879675,Male
13,Aubrie,Godbehere,2006-06-08,2123115935,6563 Lakewood Gardens Avenue,10184,New York City,752916590,Female
14,Sunny,Ranyelld,1972-01-02,6042966333,3297 Hermina Way,36210,Nong Bua Daeng,252386283,Polygender
15,Yancy,Bywater,2005-03-15,4089149667,8157 Buell Junction,,Kampala,679301967,Male
16,Fairlie,Inchan,2005-02-18,1498398727,5186 Prairie Rose Way,2201,Iba,365786238,Male
17,Marleah,Catterell,1991-08-29,8644769875,067 Independence Center,,Pagak,162986931,Female
18,Nev,Pesterfield,1960-12-17,4942976175,137 Gale Plaza,,Artemisa,517538132,Male
19,Jenine,Latta,2006-03-04,8601612577,560 Sugar Street,,Somba,558411106,Female
20,Antoine,Lyard,2005-09-01,1701947265,50130 Prentice Way,,Krajan,512955017,Male
21,Sayers,Pickthall,1978-09-09,4951935334,6 Crest Line Plaza,,Kuleqi,330198202,Male
22,Micki,Haughin,1972-05-08,4562981547,6131 Saint Paul Lane,,Biqiao,429556636,Genderfluid
23,Alex,Swancott,1994-04-09,4769300895,5838 Longview Drive,,Toutai,667834766,Male
24,Bryon,Fist,2003-04-25,9479202023,27 Schurz Junction,364 61,Město,175006391,Genderqueer
25,Isidro,Luckwell,1964-03-02,3556431439,8373 Holmberg Way,,Klek,406934779,Male
26,Khalil,Polglaze,1989-03-05,3983796185,780 Fallview Parkway,4221,Mendez-Nuñez,724725920,Male
27,Abdul,Busher,2008-09-11,5546364023,307 Cambridge Park,,Dahao,774199744,Male
28,Lovell,McAree,2012-05-20,9143091876,4111 Norway Maple Court,,Cayara,188994706,Male
29,Olenolin,MacRorie,2009-09-26,7322492962,8 Havey Way,871 60,Härnösand,374231097,Male
30,Booth,Seaton,1988-02-10,3553975661,896 Portage Avenue,,Kamwenge,541502086,Male
31,Margaux,Pain,1964-03-24,6172002269,69 Blue Bill Park Plaza,,Yuquan,507456826,Female
32,Sunny,Redsall,1976-07-11,2629127932,42355 Rowland Center,68500-000,Marabá,498053064,Male
33,Rodney,Barfford,1969-12-01,6706036345,21059 Fair Oaks Court,4611,Amuñgan,748653484,Male
34,Vanna,Kenealy,1968-01-14,9607549774,29 Jay Point,75600-000,Goiatuba,922184969,Female
35,Lucinda,Konneke,2001-04-18,7034969186,37 Farmco Lane,,Shipu,272613510,Female
36,Maggy,Shires,2007-08-13,6893342236,25567 Daystar Pass,,Panjāb,659616593,Female
37,Claribel,Mapis,1983-12-01,6862881656,961 Bonner Circle,39209 CEDEX,Saint-Claude,788310225,Female
38,Traci,Cullinane,1989-09-19,4198851197,20456 Prentice Lane,,Thakhèk,128342667,Female
39,Craggy,Doughtery,1982-01-15,6813729064,8 Briar Crest Way,,Krian,732708456,Male
40,Ignacius,Squibe,2004-07-28,2135081067,4 Dapin Court,90055,Los Angeles,613164025,Male
41,Donavon,Dillamore,2004-08-07,5446096295,527 3rd Alley,97171 CEDEX,Pointe-à-Pitre,590993788,Male
42,Dov,Poulson,1962-12-15,3049036234,07839 Spaight Trail,,Barice,100909481,Male
43,Faustina,McGrowther,1968-11-12,7788987878,7571 Riverside Street,,Karangbenda,817374480,Female
44,Jobyna,Bastide,1973-05-06,8244145028,40590 Wayridge Park,,Ḩabūr,263310676,Female
45,Rosmunda,Coburn,1992-01-29,2136883861,63365 Lukken Terrace,,Hongchun,236318376,Female
